jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Dental Assistants', 'Medical Assistants', 'Veterinary Assistants and Laboratory Animal Caretakers', 'Endoscopy Technicians', 'Pharmacy Aides', 'Speech-Language Pathology Assistants', 'Medical Equipment Preparers', 'Phlebotomists', 'Medical Transcriptionists']",31-909,9.0,79.22222222222223,15.690584579436306,42.0,77.0,82.0,88.0,99.0,0.19805786986665744
"['Microbiologists', 'Molecular and Cellular Biologists', 'Biologists', 'Geneticists', 'Biochemists and Biophysicists', 'Zoologists and Wildlife Biologists', 'Bioinformatics Scientists']",19-102,7.0,46.285714285714285,9.286446857549729,34.0,40.0,45.0,52.0,61.0,0.20063311111990156
"['Clinical Data Managers', 'Statisticians', 'Biostatisticians']",15-204,3.0,39.0,7.937253933193772,33.0,34.5,36.0,42.0,48.0,0.20351933162035313
"['Tour Guides and Escorts', 'Travel Guides']",39-701,2.0,62.5,13.435028842544403,53.0,57.75,62.5,67.25,72.0,0.21496046148071046
"['Auditors', 'Accountants']",13-201,2.0,46.0,9.899494936611665,39.0,42.5,46.0,49.5,53.0,0.215206411665471
"['Sports Medicine Physicians', 'Urologists', 'Dermatologists', 'Obstetricians and Gynecologists', 'Surgeons', 'Anesthesiologists', 'Hospitalists', 'Ophthalmologists', 'Family and General Practitioners', 'Physical Medicine and Rehabilitation Physicians', 'Internists, General', 'Pediatricians, General', 'Allergists and Immunologists', 'Neurologists', 'Nuclear Medicine Physicians', 'Psychiatrists', 'Radiologists', 'Preventive Medicine Physicians', 'Pathologists']",29-106,19.0,83.05263157894737,18.103019036768814,32.0,74.0,91.0,95.5,100.0,0.2179704446759236
"['Electrical and Electronics Repairers, Powerhouse, Substation, and Relay', 'Avionics Technicians', 'Electrical and Electronics Repairers, Commercial and Industrial Equipment', 'Security and Fire Alarm Systems Installers', 'Electric Motor, Power Tool, and Related Repairers', 'Electronic Equipment Installers and Repairers, Motor Vehicles', 'Electrical and Electronics Installers and Repairers, Transportation Equipment', 'Electronic Home Entertainment Equipment Installers and Repairers']",49-209,8.0,61.625,13.437022416762257,40.0,57.0,61.5,64.5,88.0,0.21804498850729828
"['Coating, Painting, and Spraying Machine Setters, Operators, and Tenders', 'Painting, Coating, and Decorating Workers', 'Painters, Transportation Equipment']",51-912,3.0,60.0,13.114877048604,48.0,53.0,58.0,66.0,74.0,0.2185812841434
"['Wholesale and Retail Buyers, Except Farm Products', 'Buyers and Purchasing Agents, Farm Products', 'Purchasing Agents, Except Wholesale, Retail, and Farm Products']",13-102,3.0,48.666666666666664,10.692676621563628,37.0,44.0,51.0,54.5,58.0,0.2197125333198006
"['Neuropsychologists and Clinical Neuropsychologists', 'Clinical Psychologists', 'School Psychologists', 'Counseling Psychologists', 'Industrial-Organizational Psychologists']",19-303,5.0,55.2,12.19426094521517,40.0,47.0,56.0,62.0,71.0,0.22091052436984002
"['Healthcare Social Workers', 'Child, Family, and School Social Workers', 'Mental Health and Substance Abuse Social Workers']",21-102,3.0,60.666666666666664,13.613718571108091,50.0,53.0,56.0,66.0,76.0,0.2244019544688147
"['License Clerks', 'Court Clerks', 'Municipal Clerks']",43-403,3.0,58.666666666666664,13.316656236958785,44.0,53.0,62.0,66.0,70.0,0.22698845858452477
"['Watch Repairers', 'Medical Equipment Repairers', 'Musical Instrument Repairers and Tuners', 'Camera and Photographic Equipment Repairers']",49-906,4.0,51.0,11.604596790352806,38.0,45.5,50.0,55.5,66.0,0.22754111353632953
"['Camera Operators, Television, Video, and Motion Picture', 'Film and Video Editors']",27-403,2.0,58.5,13.435028842544403,49.0,53.75,58.5,63.25,68.0,0.22965861269306673
