jobs,code,count,mean,std,min,25%,50%,75%,max,rel_std
"['Customer Service Representatives', 'File Clerks', 'Credit Authorizers', 'Brokerage Clerks', 'Municipal Clerks', 'Patient Representatives', 'License Clerks', 'Correspondence Clerks', 'Credit Checkers', 'Hotel, Motel, and Resort Desk Clerks', 'Court Clerks', 'Eligibility Interviewers, Government Programs']",43-40,12.0,59.333333333333336,10.764701012048029,43.0,53.0,60.0,68.25,76.0,0.1814275451468769
"['Law Teachers, Postsecondary', 'Art, Drama, and Music Teachers, Postsecondary', 'English Language and Literature Teachers, Postsecondary', 'Foreign Language and Literature Teachers, Postsecondary', 'Home Economics Teachers, Postsecondary', 'Philosophy and Religion Teachers, Postsecondary', 'Communications Teachers, Postsecondary', 'Social Work Teachers, Postsecondary', 'Graduate Teaching Assistants', 'History Teachers, Postsecondary', 'Recreation and Fitness Studies Teachers, Postsecondary', 'Criminal Justice and Law Enforcement Teachers, Postsecondary', 'Vocational Education Teachers, Postsecondary']",25-11,13.0,52.61538461538461,12.835747358701411,34.0,46.0,51.0,59.0,76.0,0.2439542626653777
"['Cashiers', 'Retail Salespersons', 'Counter and Rental Clerks', 'Parts Salespersons', 'Gaming Change Persons and Booth Cashiers']",41-20,5.0,69.8,3.1144823004794873,67.0,68.0,69.0,70.0,75.0,0.044620090264749106
"['Semiconductor Processors', 'Paper Goods Machine Setters, Operators, and Tenders', 'Molding and Casting Workers', 'Glass Blowers, Molders, Benders, and Finishers', 'Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders', 'Coating, Painting, and Spraying Machine Setters, Operators, and Tenders', 'Recycling and Reclamation Workers', 'Potters, Manufacturing', 'Stone Cutters and Carvers, Manufacturing', 'Etchers and Engravers', 'Cooling and Freezing Equipment Operators and Tenders', 'Tire Builders', 'Adhesive Bonding Machine Operators and Tenders', 'Photographic Process Workers and Processing Machine Operators', 'Painting, Coating, and Decorating Workers', 'Helpers--Production Workers', 'Packaging and Filling Machine Operators and Tenders', 'Painters, Transportation Equipment']",51-91,18.0,55.94444444444444,9.625164458318269,32.0,50.25,58.0,60.75,74.0,0.17204861991035633
"['Art Directors', 'Merchandise Displayers and Window Trimmers', 'Interior Designers', 'Multimedia Artists and Animators', 'Fine Artists, Including Painters, Sculptors, and Illustrators', 'Set and Exhibit Designers', 'Graphic Designers', 'Commercial and Industrial Designers', 'Craft Artists', 'Fashion Designers', 'Floral Designers']",27-10,11.0,48.36363636363637,17.591320173726174,9.0,41.0,53.0,56.0,73.0,0.36373030434396225
"['Office Machine Operators, Except Computer', 'Insurance Claims Clerks', 'Mail Clerks and Mail Machine Operators, Except Postal Service', 'Desktop Publishers', 'Computer Operators', 'Word Processors and Typists', 'Data Entry Keyers', 'Office Clerks, General', 'Insurance Policy Processing Clerks', 'Proofreaders and Copy Markers']",43-90,10.0,53.5,9.513148795220223,42.0,46.25,52.5,56.75,73.0,0.17781586533121913
"['Biologists', 'Medical Scientists, Except Epidemiologists', 'Microbiologists', 'Geneticists', 'Epidemiologists', 'Zoologists and Wildlife Biologists', 'Food Scientists and Technologists', 'Park Naturalists', 'Bioinformatics Scientists', 'Soil and Water Conservationists', 'Biochemists and Biophysicists', 'Range Managers', 'Foresters', 'Soil and Plant Scientists', 'Molecular and Cellular Biologists', 'Animal Scientists']",19-10,16.0,47.125,9.810708435174291,34.0,41.0,44.0,52.25,73.0,0.2081847943803563
"['First-Line Supervisors of Housekeeping and Janitorial Workers', 'First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers']",37-10,2.0,61.5,14.849242404917497,51.0,56.25,61.5,66.75,72.0,0.24145109601491865
"['Market Research Analysts and Marketing Specialists', 'Sustainability Specialists', 'Meeting, Convention, and Event Planners', 'Energy Auditors', 'Training and Development Specialists', 'Security Management Specialists', 'Fundraisers', 'Management Analysts', 'Compensation, Benefits, and Job Analysis Specialists', 'Online Merchants', 'Business Continuity Planners', 'Customs Brokers']",13-11,12.0,49.0,11.216870411045223,32.0,40.5,49.0,55.25,72.0,0.2289157226743923
"['Biological Technicians', 'Nuclear Monitoring Technicians', 'Social Science Research Assistants', 'Forensic Science Technicians', 'Geological Sample Test Technicians', 'Forest and Conservation Technicians', 'Quality Control Analysts', 'Food Science Technicians', 'Remote Sensing Technicians', 'City and Regional Planning Aides', 'Environmental Science and Protection Technicians, Including Health', 'Geophysical Data Technicians', 'Agricultural Technicians', 'Nuclear Equipment Operation Technicians', 'Chemical Technicians', 'Precision Agriculture Technicians']",19-40,16.0,55.625,9.749358953285082,44.0,47.75,53.5,63.5,72.0,0.17526937444108012
"['Travel Guides', 'Tour Guides and Escorts']",39-70,2.0,62.5,13.435028842544403,53.0,57.75,62.5,67.25,72.0,0.21496046148071046
